"gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","pglobal_cv","qglobal_cv"
"HNRNPUL1",1,3,0,0,0,1.81550607034655,0,0,0,0.454754757306509,0.574715576840125,0.619231893236457,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916014538059358,0.999999787711459
"FAM180B",0,0,0,0,0,0,0,0,0,0.348271935901655,0.759774135913121,0.619290524667698,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916042635889356,0.999999787711459
"GRID1",8,9,1,0,0,0.643042428529212,0.88231645749876,0.88231645749876,0,0.330069011882039,0.90311224133513,0.619290678250825,1,0.842221745634471,0.919077501806509,0.951742928042244,0.916042709483418,0.999999787711459
"CD58",1,2,0,0,0,2.24701734518092,0,0,0,0.383377020119079,0.690820583565703,0.619295697385509,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916045114534663,0.999999787711459
"ZDHHC12",0,0,0,0,0,0,0,0,0,0.34932242092481,0.754358755956392,0.619307528597751,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916050783612235,0.999999787711459
"ERMAP",1,3,0,0,0,1.8455344638672,0,0,0,0.442716592554705,0.590690680838309,0.619340439881467,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916066552288441,0.999999787711459
"BANF2",0,0,0,0,0,0,0,0,0,0.351019384223893,0.746046206695694,0.619356744896668,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916074363809433,0.999999787711459
"PPIP5K2",1,1,0,0,0,0.439059221364054,0,0,0,0.43710875046075,0.502856363269909,0.619359230625485,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916075554652114,0.999999787711459
"HSPE1-MOB4",0,0,0,0,0,0,0,0,0,0.3540315329156,0.731918413051159,0.619379461687422,1,0.842221745634471,0.904340106794148,0.951742928042244,0.91608524641319,0.999999787711459
"ZNF33A",3,5,0,0,0,1.50786321653559,0,0,0,0.508873278173996,0.509610267612221,0.619405483275792,1,0.846919908023681,0.904340106794148,0.951742928042244,0.916097711174646,0.999999787711459
"LINC00696",0,0,0,0,0,0,0,0,0,0.340052596711927,0.811070198901568,0.619413502714721,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916101552395156,0.999999787711459
"DNAJC30",0,0,0,0,0,0,0,0,0,0.338982050766899,0.819202629471348,0.619440012728312,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916114249652819,0.999999787711459
"PSMD7",0,0,0,0,0,0,0,0,0,0.346601183737052,0.769754245479248,0.619463988885897,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916125732315685,0.999999787711459
"DNAH11",9,24,1,0,0,1.11863699013969,0.474257561910505,0.474257561910505,0,0.752959730453846,0.42649149591895,0.619483559063847,1,0.926100472538166,0.904340106794148,0.951742928042244,0.91613510417865,0.999999787711459
"IL22",0,2,0,0,0,2.32971789709016,0,0,0,0.386108851108129,0.695060197282938,0.619525829601236,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916155344791443,0.999999787711459
"METRNL",0,0,0,0,0,0,0,0,0,0.342541095769717,0.794695585759502,0.61953472606107,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916159604360404,0.999999787711459
"NPIPB5",0,0,0,0,0,0,0,0,0,0.33924103900113,0.818922200969543,0.619698258603434,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916237879956858,0.999999787711459
"UCK1",0,0,0,0,0,0,0,0,0,0.348282957610697,0.761785519831301,0.619722164609546,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916249319059934,0.999999787711459
"RNF165",7,4,0,0,0,0.917805684525015,0,0,0,0.884900021000334,0.328867716767497,0.619726785103168,1,0.966854814113428,0.904340106794148,0.951742928042244,0.916251529875086,0.999999787711459
"AC021860.1",0,0,0,0,0,0,0,0,0,0.336619584258361,0.841401123002142,0.619831960074591,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916301844710159,0.999999787711459
"CDK5RAP3",0,2,0,0,0,2.20910553086455,0,0,0,0.415462674004163,0.638233456412767,0.619839290383293,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916305350803824,0.999999787711459
"POP4",0,0,0,0,0,0,0,0,0,0.352451639364318,0.741421863175731,0.619880490712314,1,0.842221745634471,0.904340106794148,0.951742928042244,0.91632505534774,0.999999787711459
"POTEB",0,0,0,0,0,0,0,0,0,0.348363453765458,0.762145501438639,0.619886488523712,1,0.842221745634471,0.904340106794148,0.951742928042244,0.91632792364353,0.999999787711459
"SRSF9",1,0,0,0,0,0,0,0,0,0.345364304282317,0.784451057715259,0.619905912388489,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916337212198476,0.999999787711459
"COL9A3",2,3,0,0,0,0.881455802576192,0,0,0,0.864951577917535,0.328319189203519,0.619939717766598,1,0.960703767156525,0.904340106794148,0.951742928042244,0.916353376588235,0.999999787711459
"AC016251.1",0,0,0,0,0,0,0,0,0,0.337919227550188,0.831225996458694,0.619965020348044,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916365474071947,0.999999787711459
"C2orf50",0,0,0,0,0,0,0,0,0,0.348109120757249,0.764258254121565,0.620038784164007,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916400735590516,0.999999787711459
"FEZF1",1,4,0,0,0,1.8153215504999,0,0,0,0.4151628043267,0.638473210439192,0.620083685763147,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916422195727899,0.999999787711459
"SLC25A6",0,0,0,0,0,0,0,0,0,0.342915255396089,0.795400391139885,0.62008570443543,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916423160449779,0.999999787711459
"CHD3",2,3,0,0,0,0.68422259931828,0,0,0,0.606883136151461,0.37092024629929,0.620168172750778,1,0.877630938410537,0.904340106794148,0.951742928042244,0.916462566374213,0.999999787711459
"SPAG9",0,3,0,0,0,1.82792203917491,0,0,0,0.479890668715116,0.560145803808518,0.620181087484924,1,0.843798552102504,0.904340106794148,0.951742928042244,0.916468736442423,0.999999787711459
"TRIM42",2,5,1,0,0,1.01771370136272,3.35304612002978,3.35304612002978,0,0.978419059383438,0.337856038292905,0.620195626993988,1,0.994998572766563,0.904340106794148,0.951742928042244,0.916475682431823,0.999999787711459
"MOB4",0,0,0,0,0,0,0,0,0,0.354610578682133,0.732863741432169,0.62023213063108,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916493119886887,0.999999787711459
"IL1R1",4,6,1,0,0,1.46022058179662,2.71300086372478,2.71300086372478,0,0.505785565152004,0.410591968908214,0.620236097326462,1,0.846919908023681,0.904340106794148,0.951742928042244,0.916495014611737,0.999999787711459
"CLPSL2",0,0,0,0,0,0,0,0,0,0.349981610528877,0.755363568748959,0.620252867559289,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916503024771775,0.999999787711459
"PYCRL",0,0,0,0,0,0,0,0,0,0.343787702806768,0.79075072986888,0.620258231547009,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916505586739486,0.999999787711459
"MRPS34",0,1,0,0,0,3.47779904426245,0,0,0,0.342660638737638,0.834536225405238,0.620270516990783,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916511454383919,0.999999787711459
"PCBP3",1,1,0,0,0,0.46176379403533,0,0,0,0.467277554683805,0.466858057534389,0.620271105411527,1,0.842327204918842,0.904340106794148,0.951742928042244,0.91651173541314,0.999999787711459
"CGA",0,0,0,0,0,0,0,0,0,0.345709302542538,0.779216582122886,0.620304989523731,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916527917493205,0.999999787711459
"CBY3",0,0,0,0,0,0,0,0,0,0.343983712069925,0.789905366009831,0.620329478697692,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916539611667976,0.999999787711459
"TPM3",0,0,0,0,0,0,0,0,0,0.353823366208638,0.736998937464325,0.620353219580456,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916550947592626,0.999999787711459
"ITPR1",9,11,1,0,0,0.669830920490678,0.639931901554863,0.639931901554863,0,0.342728579836619,0.648352494967931,0.620368453533188,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916558221103926,0.999999787711459
"CLEC12B",0,2,0,0,0,2.2290469570171,0,0,0,0.410396156076063,0.64830044440495,0.62051565946285,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916628485889163,0.999999787711459
"ACIN1",0,3,0,0,0,1.93110766778696,0,0,0,0.441112798863694,0.607578791680641,0.620517496405622,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916629362483687,0.999999787711459
"DGCR6L",1,0,0,0,0,0,0,0,0,0.355293325001743,0.737148189717059,0.620545823836742,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916642879729088,0.999999787711459
"SCN4B",0,2,0,0,0,2.39670955858993,0,0,0,0.371062459745425,0.735822440975756,0.620652735192442,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916693883896319,0.999999787711459
"INO80",1,4,0,0,0,1.44159757265214,0,0,0,0.616450743004682,0.447135367991893,0.620695509622621,1,0.879451176945319,0.904340106794148,0.951742928042244,0.916714285122194,0.999999787711459
"WDR63",0,1,0,0,0,0.422801380991578,0,0,0,0.444276419812795,0.479642571065994,0.620710613866021,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916721488373222,0.999999787711459
"SOX18",0,0,0,0,0,0,0,0,0,0.337078429605044,0.844731021194979,0.620807499528898,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916767684645661,0.999999787711459
"AC013449.1",0,0,0,0,0,0,0,0,0,0.338122896412233,0.835698985941596,0.620827236962374,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916777093842052,0.999999787711459
"CCDC146",2,5,1,0,0,1.49700313888997,2.94998634631083,2.94998634631083,0,0.534259691779752,0.384773121526001,0.620831577945664,1,0.852546572307325,0.904340106794148,0.951742928042244,0.91677916318419,0.999999787711459
"KIAA1211",1,5,0,0,0,1.57033560187511,0,0,0,0.512959834397769,0.523182387755446,0.620875053950048,1,0.847046707857034,0.904340106794148,0.951742928042244,0.916799886475193,0.999999787711459
"ASPH",2,3,0,0,0,1.58494234683275,0,0,0,0.544214235062155,0.481633831414626,0.620903584502772,1,0.855572994076986,0.904340106794148,0.951742928042244,0.916813484206319,0.999999787711459
"IMPA1",1,2,0,0,0,2.19978947395288,0,0,0,0.395285990372976,0.667622846111791,0.620925984203995,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916824159039961,0.999999787711459
"TRIM48",2,3,0,0,0,1.70839313619261,0,0,0,0.482357747650966,0.53694403879533,0.620934978022499,1,0.843798552102504,0.904340106794148,0.951742928042244,0.916828444919604,0.999999787711459
"LOH12CR1",0,0,0,0,0,0,0,0,0,0.348940231431238,0.764471606858902,0.621008868428104,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916863651437631,0.999999787711459
"HYI",0,0,0,0,0,0,0,0,0,0.355017065972023,0.734521112825514,0.621065815419476,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916890778938061,0.999999787711459
"CRTAC1",3,4,0,0,0,0.746579292235367,0,0,0,0.654369197109447,0.358417752680606,0.621126110076015,1,0.893412418003766,0.904340106794148,0.951742928042244,0.916919495454836,0.999999787711459
"AC090427.1",0,0,0,0,0,0,0,0,0,0.354535983939628,0.737075475106151,0.621145346700604,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916928656044282,0.999999787711459
"AC005008.2",0,0,0,0,0,0,0,0,0,0.354511525857008,0.737197959663745,0.621147447312583,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916929656331509,0.999999787711459
"CYB5D2",0,0,0,0,0,0,0,0,0,0.344632608005673,0.790697971841982,0.621209923104027,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916959403336245,0.999999787711459
"PCDHB15",3,3,0,0,0,0.566362310030476,0,0,0,0.41794499564266,0.541499165860479,0.621233441332872,1,0.842221745634471,0.904340106794148,0.951742928042244,0.916970599595589,0.999999787711459
"MLEC",0,0,0,0,0,0,0,0,0,0.344882397599404,0.789508401239549,0.621279291449251,1,0.842221745634471,0.904340106794148,0.951742928042244,0.91699242477616,0.999999787711459
"ECHDC1",0,0,0,0,0,0,0,0,0,0.34922639591622,0.765512743715154,0.621541003845128,1,0.842221745634471,0.904340106794148,0.951742928042244,0.917116938101807,0.999999787711459
